OrderID,Date,Product,Category,Region,Quantity,UnitPrice,Revenue,DiscountPercent,FinalRevenue,Profit,CustomerType,SalesChannel,PaymentMethod
1001,2025-05-07,Keyboard,Accessories,South,9,9978,89802,13.01,78118.76,20502.76,Regular,Offline,Credit Card
1002,2025-02-28,Tablet,Electronics,North,4,20187,80748,13.58,69782.42,7570.21,Premium,Online,UPI
1003,2024-04-07,Tablet,Electronics,South,10,14410,144100,12.38,126260.42,35629.18,New,Online,Cash
1004,2024-04-10,Printer,Office Equipment,West,8,3548,28384,5.16,26919.39,6801.89,New,Offline,UPI
1005,2024-07-06,Mouse,Accessories,West,9,12077,108693,9.16,98736.72,10746.95,New,Online,Debit Card
1006,2025-06-25,Keyboard,Accessories,South,3,19550,58650,0.48,58368.48,13269.47,New,Online,Credit Card
1007,2024-07-03,Smartphone,Electronics,South,8,40705,325640,15.13,276370.67,82517.39,Premium,Online,Credit Card
1008,2025-03-17,Laptop,Electronics,North,10,5887,58870,13.13,51140.37,5819.62,Regular,Online,UPI
1009,2025-05-31,Smartwatch,Wearables,North,3,9030,27090,7.94,24939.05,6043.69,New,Offline,Credit Card
1010,2025-08-08,Laptop,Electronics,South,6,38989,233934,17.38,193276.27,47782.86,Regular,Offline,Cash
1011,2025-01-15,Camera,Electronics,North,5,33407,167035,14.38,143015.37,36571.59,New,Offline,Credit Card
1012,2025-07-11,Smartwatch,Wearables,West,1,3292,3292,15.49,2782.07,818.99,New,Offline,Debit Card
1013,2025-03-12,Smartwatch,Wearables,North,6,28641,171846,3.11,166501.59,48633.54,Premium,Online,UPI
1014,2025-03-07,Keyboard,Accessories,West,6,47299,283794,19.52,228397.41,24651.68,Regular,Offline,Debit Card
1015,2024-08-02,Laptop,Electronics,East,4,5981,23924,7.21,22199.08,5707.64,Regular,Offline,UPI
1016,2024-03-18,Printer,Office Equipment,South,2,24778,49556,7.8,45690.63,4995.95,Regular,Offline,UPI
1017,2024-11-03,Printer,Office Equipment,South,7,21555,150885,18.73,122624.24,25716.43,Regular,Offline,Cash
1018,2025-07-09,Smartphone,Electronics,South,4,24335,97340,13.74,83965.48,14044.87,New,Offline,Debit Card
1019,2025-09-28,Smartphone,Electronics,North,10,39906,399060,7.45,369330.03,92257.78,New,Offline,Debit Card
1020,2025-09-15,Camera,Electronics,South,10,35248,352480,15.92,296365.18,57415.3,Premium,Online,UPI
1021,2024-07-07,Laptop,Electronics,West,8,42760,342080,0.13,341635.3,76666.64,Regular,Online,Cash
1022,2024-10-16,Camera,Electronics,West,9,27490,247410,18.24,202282.42,29137.48,New,Offline,Credit Card
1023,2025-11-14,Mouse,Accessories,North,10,25801,258010,0.62,256410.34,31104.39,New,Online,Debit Card
1024,2025-11-12,Smartwatch,Wearables,West,1,46266,46266,19.75,37128.46,7586.52,Premium,Online,Credit Card
1025,2025-05-13,Headphones,Accessories,East,8,21525,172200,9.38,156047.64,17689.7,Regular,Online,UPI
1026,2024-12-27,Monitor,Electronics,South,6,46976,281856,13.99,242424.35,29920.93,Regular,Online,UPI
1027,2025-11-13,Smartphone,Electronics,South,2,22765,45530,4.58,43444.73,4549.68,New,Online,Credit Card
1028,2025-12-05,Mouse,Accessories,South,2,12315,24630,8.48,22541.38,5138.06,Regular,Offline,Debit Card
1029,2024-09-07,Mouse,Accessories,North,10,27080,270800,10.24,243070.08,51981.14,New,Offline,Debit Card
1030,2024-09-28,Headphones,Accessories,North,6,6988,41928,8.65,38301.23,10708.55,Regular,Online,Credit Card
1031,2025-06-01,Headphones,Accessories,East,10,19685,196850,5.26,186495.69,43767.37,New,Offline,Debit Card
1032,2025-10-23,Tablet,Electronics,North,3,36390,109170,4.26,104519.36,19542.93,Regular,Online,Credit Card
1033,2025-07-05,Printer,Office Equipment,East,1,28421,28421,16.16,23828.17,6409.66,Premium,Offline,Credit Card
1034,2024-11-27,Smartphone,Electronics,West,9,8959,80631,2.28,78792.61,13156.23,New,Offline,Debit Card
1035,2024-09-03,Camera,Electronics,East,1,36894,36894,0.76,36613.61,9891.74,Regular,Offline,Cash
1036,2025-08-10,Camera,Electronics,East,5,17364,86820,9.77,78337.69,14324.64,Regular,Online,Cash
1037,2025-04-26,Smartphone,Electronics,West,9,44624,401616,17.19,332578.21,56548.78,Regular,Offline,Debit Card
1038,2024-01-19,Smartwatch,Wearables,East,6,4588,27528,1.05,27238.96,8121.5,Premium,Offline,Credit Card
1039,2025-06-06,Monitor,Electronics,North,4,14633,58532,8.12,53779.2,7652.91,Premium,Offline,UPI
1040,2024-11-15,Printer,Office Equipment,East,3,27088,81264,11.21,72154.31,8395.19,New,Online,Cash
1041,2025-08-30,Smartwatch,Wearables,West,8,46490,371920,9.37,337071.1,50251.24,Regular,Offline,Debit Card
1042,2024-05-14,Smartphone,Electronics,East,10,21946,219460,2.12,214807.45,50158.76,Regular,Offline,Debit Card
1043,2025-10-14,Headphones,Accessories,South,8,39921,319368,14.93,271686.36,42780.98,Premium,Online,Debit Card
1044,2024-08-16,Tablet,Electronics,North,3,38966,116898,4.8,111286.9,25236.72,New,Online,Cash
1045,2024-03-11,Mouse,Accessories,North,1,3673,3673,2.68,3574.56,573.14,Regular,Offline,Credit Card
1046,2025-07-22,Laptop,Electronics,North,8,17143,137144,0.15,136938.28,29314.1,Regular,Online,Debit Card
1047,2025-08-06,Camera,Electronics,South,5,28331,141655,0.07,141555.84,27165.8,New,Offline,Credit Card
1048,2024-03-17,Printer,Office Equipment,South,1,41075,41075,6.93,38228.5,7810.19,Regular,Online,UPI
1049,2024-11-17,Printer,Office Equipment,South,4,47855,191420,9.68,172890.54,24597.89,New,Offline,Cash
1050,2025-05-12,Smartphone,Electronics,South,1,34166,34166,17.97,28026.37,7710.94,New,Online,UPI
1051,2025-07-13,Smartwatch,Wearables,West,9,7591,68319,4.24,65422.27,18518.61,Premium,Offline,Credit Card
1052,2024-04-04,Mouse,Accessories,North,10,20877,208770,15.13,177183.1,46998.03,New,Offline,Cash
1053,2025-07-18,Camera,Electronics,East,10,10291,102910,6.39,96334.05,20454.99,New,Offline,UPI
1054,2024-07-13,Smartwatch,Wearables,West,2,40319,80638,13.89,69437.38,11966.86,New,Online,Credit Card
1055,2025-03-01,Tablet,Electronics,East,1,29188,29188,7.4,27028.09,6508.77,New,Offline,UPI
1056,2024-07-27,Laptop,Electronics,East,6,16357,98142,9.17,89142.38,15494.64,Regular,Online,Cash
1057,2024-04-12,Camera,Electronics,West,2,34336,68672,12.99,59751.51,6466.23,New,Online,Debit Card
1058,2025-06-05,Laptop,Electronics,East,2,42585,85170,7.83,78501.19,9432.66,Premium,Online,Cash
1059,2025-02-25,Mouse,Accessories,South,2,43882,87764,6.69,81892.59,23179.14,Regular,Offline,Credit Card
1060,2025-11-06,Camera,Electronics,West,2,11628,23256,5.85,21895.52,5946.09,Regular,Offline,UPI
1061,2024-09-02,Smartphone,Electronics,South,6,3916,23496,3.05,22779.37,3128.06,Regular,Offline,Cash
1062,2025-02-23,Smartwatch,Wearables,North,4,15335,61340,6.39,57420.37,13572.66,New,Offline,UPI
1063,2025-03-04,Tablet,Electronics,East,8,13534,108272,5.68,102122.15,26871.44,Premium,Online,UPI
1064,2024-09-13,Smartwatch,Wearables,South,8,14134,113072,17.93,92798.19,24432.92,Regular,Online,Debit Card
1065,2025-06-19,Laptop,Electronics,East,7,12195,85365,18.56,69521.26,10429.74,New,Online,Cash
1066,2024-09-02,Smartwatch,Wearables,East,4,46069,184276,2.81,179097.84,36271.0,Premium,Offline,Debit Card
1067,2025-10-30,Camera,Electronics,South,7,16006,112042,2.61,109117.7,17737.5,Premium,Online,Debit Card
1068,2025-02-20,Laptop,Electronics,South,10,31810,318100,16.04,267076.76,39301.43,Premium,Online,UPI
1069,2024-04-28,Smartphone,Electronics,South,6,35416,212496,12.16,186656.49,22143.7,New,Offline,UPI
1070,2024-02-12,Monitor,Electronics,South,3,28860,86580,19.81,69428.5,14159.61,Regular,Online,Debit Card
1071,2024-09-11,Laptop,Electronics,East,5,36789,183945,2.54,179272.8,51882.05,New,Offline,UPI
1072,2025-04-11,Camera,Electronics,South,5,49580,247900,11.07,220457.47,28213.54,Premium,Offline,UPI
1073,2025-12-21,Laptop,Electronics,North,4,4023,16092,3.95,15456.37,2400.73,New,Online,Cash
